Node_for_0_eyes,Act_for_0_eyes,Frequency_for_0_eyes,0_output_weights_x,output_0_eyes_compScore,Node_for_0_mouth,Act_for_0_mouth,Frequency_for_0_mouth,0_output_weights_y,output_0_mouth_compScore,Node_for_0_forehead,Act_for_0_forehead,Frequency_for_0_forehead,0_output_weights_x,output_0_forehead_compScore,Node_for_0_nose,Act_for_0_nose,Frequency_for_0_nose,0_output_weights_y,output_0_nose_compScore
95.0,0.025506916033536498,0.6332665330661322,0.9244541924454193,1.0,12.0,0.024680372017923405,0.35070140280561124,0.8027399402739941,1.0,33,0.5480948892320103,0.6993987975951904,0.9374026937402694,1.0,12.0,0.03428125295112893,0.3727454909819639,0.8027399402739941,1.0
12.0,0.026207687633435083,0.11823647294589178,0.8027399402739941,0.8919735321489213,95.0,0.011874733563250132,0.052104208416833664,0.9244541924454193,0.5532211806774529,95,0.5341056362586567,0.03206412825651302,0.9244541924454193,0.9610159764196124,95.0,0.019282470726459673,0.19839679358717435,0.9244541924454193,0.647297100454961
22.0,0.030702199421848073,0.0,0.6608179660817967,0.8601270844405445,51.0,0.009942499347400529,0.7615230460921844,0.6837518683751869,0.3418526447426505,101,0.5257366079689131,0.8697394789579158,0.9179795917979593,0.9393323844376961,19.0,0.016000696288203595,0.23647294589178355,0.8384072838407285,0.48680752151711343
19.0,0.01678446904195954,0.3366733466933868,0.8384072838407285,0.5959551905388907,19.0,0.007388837884785469,0.1462925851703407,0.8384072838407285,0.3113393633715846,87,0.44452101805899563,0.5050100200400801,0.9147483914748392,0.7914290824664545,110.0,0.01230861990681806,0.026052104208416832,0.8502972850297286,0.3794988563666894
51.0,0.01808340702463732,0.8296593186372746,0.6837518683751869,0.5233859772322293,41.0,0.005765739541901069,0.13827655310621242,0.901469860146986,0.2609068523093715,3,0.42151335984651084,0.8637274549098196,0.9259249325924933,0.7596353612530462,51.0,0.01236887394465496,0.6733466933867736,0.6837518683751869,0.30640715046294825
41.0,0.011385795921880168,0.44288577154308617,0.901469860146986,0.43411766699935983,127.0,0.0126023399733951,0.3226452905811623,0.299877579987758,0.18916950069002053,76,0.3947925690549533,0.3046092184368738,0.9488725448872545,0.7291130990100815,88.0,0.006849617571130916,0.02004008016032064,0.8894776389477639,0.22036490797232233
127.0,0.03394361607674775,0.8557114228456913,0.299877579987758,0.43050452523772315,126.0,0.0371780534254379,0.0,0.09852478985247899,0.1832929117639795,88,0.3889488092325808,0.14228456913827656,0.8894776389477639,0.6733572355387384,127.0,0.017789987067707506,0.5290581162324649,0.299877579987758,0.19279236509904485
115.0,0.015215898753648618,0.7234468937875751,0.297337349733735,0.19020152963037099,86.0,0.023283225241397854,0.004008016032064128,0.061253792125379215,0.07017174611247508,69,0.3784298623375343,0.6112224448897795,0.895498389549839,0.6595811860068653,56.0,0.015787342632327776,0.15030060120240482,0.26296439629643964,0.1497355941885564
86.0,0.02091792585456408,0.02404809619238477,0.061253792125379215,0.052387891762849685,102.0,0.002887234098049026,0.002004008016032064,0.3849304084930409,0.0542511715382233,41,0.3445418555967369,0.02404809619238477,0.901469860146986,0.6045208018851898,41.0,0.003892063316193751,0.04208416833667335,0.901469860146986,0.12634141916918412
44.0,0.025102859425115552,0.09819639278557114,0.031158480115848014,0.0311764643408652,115.0,0.0035696102751280956,0.18637274549098196,0.297337349733735,0.05172221346450926,119,0.329040745176882,0.06613226452905811,0.8749861374986138,0.5603622919006523,102.0,0.008994768521437576,0.036072144288577156,0.3849304084930409,0.12465970200485353
56.0,0.0028706616880857776,0.0,0.26296439629643964,0.030016946108454436,62.0,0.007377906304627195,0.0,0.12096474809647481,0.043179773163693286,45,0.25660326961841934,0.7995991983967936,0.9111132311113231,0.4550431589569546,115.0,0.008849245913663477,0.41282565130260523,0.297337349733735,0.09441691065629224
105.0,0.00790141663944913,0.002004008016032064,0.08740893874089388,0.027287517432523202,56.0,0.0026960886185815563,0.008016032064128256,0.26296439629643964,0.03390000469689659,40,0.346050416075832,0.7474949899799599,0.6267474326747433,0.4221336663553422,86.0,0.028407547245792916,0.0,0.061253792125379215,0.06199117884896844
126.0,0.004967792014033856,0.156312625250501,0.09852478985247899,0.018737092236711696,38.0,0.0009967949409471699,0.0,0.697689009768901,0.033216129523547876,18,0.24965615046136314,0.8897795591182365,0.8444120544412055,0.41031249691409627,22.0,0.0021424465844951525,0.0,0.6608179660817967,0.050190855820694096
62.0,0.0027006827876178063,0.0,0.12096474809647481,0.0118202489661601,44.0,0.02039487181535715,0.32064128256513025,0.031158480115848014,0.030182756594396207,91,0.21703192632020832,0.6653306613226453,0.9048190904819091,0.38221121883774534,44.0,0.03880485221585697,0.3847695390781563,0.031158480115848014,0.042670917333724634
9.0,0.011309946776100876,0.08817635270541083,0.011413128141312815,0.0034227357135402235,20.0,0.008626599103049939,0.014028056112224449,0.07071823707182372,0.028897418252292195,47,0.19702888490101111,0.4228456913827655,0.9417383441738345,0.3611421701561421,20.0,0.003295770365469418,0.004008016032064128,0.07071823707182372,0.007156394390046753
70.0,0.009638148811043233,0.0,0.005036235503623551,0.0,9.0,0.003910200894491107,0.036072144288577156,0.011413128141312815,0.0003017139238723678,84,0.19248838250538278,0.012024048096192385,0.9405178940517894,0.35236246233051866,78.0,0.006633589865253653,0.002004008016032064,0.029192837919283794,0.005722110572440386
,,,,,70.0,0.007676717341430329,0.02404809619238477,0.005036235503623551,0.0,81,0.18586248107051195,0.8036072144288577,0.9194313919431393,0.3326052562953204,126.0,0.0013913922167570337,0.0,0.09852478985247899,0.003663832961744498
,,,,,,,,,,79,0.20665587716536815,0.0841683366733467,0.698872569887257,0.28110191636956255,9.0,0.009688569290642662,0.014028056112224449,0.011413128141312815,0.0026992297246911773
