Node_for_0_None,Act_for_0_None,Frequency_for_0_None,0_output_weights,output_0_None_compScore,Node_for_1_None,Act_for_1_None,Frequency_for_1_None,1_output_weights,output_1_None_compScore
3,0.5210388831018056,0.36507936507936506,0.9259249325924933,1.0,86,0.35247592965866326,0.39514348785871967,0.9341101434110144,1.0
99,0.5205459920879927,0.6485260770975056,0.9092196909219692,0.9810294092515187,44,0.3362684095023671,0.45916114790286977,0.9671081967108197,0.9877193937526
11,0.41263178564391256,0.4036281179138322,0.8756801875680188,0.7489663230738314,105,0.28206041684850425,0.2097130242825607,0.908444190844419,0.7782387346318369
19,0.3901434403950461,0.4671201814058957,0.8384072838407285,0.6780058471370717,46,0.23912504323381126,0.39293598233995586,0.8444565144456515,0.6133025906241245
53,0.34254290958402706,0.5215419501133787,0.9197358919735893,0.653028603474919,82,0.21524754752723657,0.4922737306843267,0.9223500222350023,0.6029848793409821
76,0.287847130743493,0.22675736961451248,0.9488725448872545,0.5661400418824861,115,0.2362277813615569,0.2141280353200883,0.8120606812060682,0.5826287369148453
88,0.3021784040102299,0.02947845804988662,0.8894776389477639,0.5571248688687818,108,0.19096109947552808,0.19205298013245034,0.9834079983407998,0.570362665525954
81,0.2622757785743369,0.5102040816326531,0.9194313919431393,0.49984068126893094,8,0.2045169150810469,0.2693156732891832,0.890528349052835,0.5531582956515669
51,0.32756396973098256,0.4557823129251701,0.6837518683751869,0.464246607626319,78,0.17258287386014048,0.26490066225165565,0.9651332965133297,0.5058915701363746
42,0.25108806394148414,0.2789115646258503,0.889396388939639,0.4628875681411216,117,0.20427847568778662,0.3465783664459161,0.8139519313951932,0.505002832247645
110,0.2620743218457316,0.6757369614512472,0.8502972850297286,0.4619014762302387,50,0.16750469511887203,0.6203090507726269,0.9698233969823398,0.49339198387902916
33,0.22911073114563754,0.11791383219954649,0.9374026937402694,0.44516982172228636,106,0.1610453702647631,0.25165562913907286,0.991319999132,0.48488032190868213
22,0.31054597188891386,0.272108843537415,0.6608179660817967,0.4253650755720338,2,0.23260090360168825,0.2251655629139073,0.686316068631607,0.48485068318049407
95,0.22140549853517422,0.05442176870748299,0.9244541924454193,0.42425589524147383,67,0.21220604729257028,0.27593818984547464,0.7407215340721535,0.4774030329410917
18,0.23702938936381918,0.46938775510204084,0.8444120544412055,0.41486873712585687,34,0.16699134465329277,0.12141280353200883,0.901567290156729,0.45726141472618903
84,0.21105966632448867,0.4897959183673469,0.9405178940517894,0.4114588397686574,71,0.15583373455547359,0.7792494481236203,0.9633039963303998,0.45592907446383163
87,0.20167662497326236,0.1473922902494331,0.9147483914748392,0.3823942088865839,60,0.16386874710532512,0.4216335540838852,0.9142679314267933,0.4550321340965911
114,0.20379621535587375,0.26077097505668934,0.8879202287920229,0.3750802113546079,120,0.16361143605791664,0.03532008830022075,0.9082917908291791,0.4513479693491453
12,0.22200836259191203,0.3968253968253968,0.8027399402739941,0.36940119217999917,59,0.15478079760740723,0.12362030905077263,0.9404539940453995,0.4421066859738111
28,0.18687414293167046,0.2562358276643991,0.8726313872631388,0.33801356606720556,94,0.16755024339071628,0.2097130242825607,0.8680454168045417,0.4417331158884992
17,0.2334584357442528,0.38095238095238093,0.690527209052721,0.33415229967917587,111,0.16253161111130826,0.32891832229580575,0.8875182587518259,0.4381144567516572
37,0.2099885255572217,0.24036281179138322,0.7427649042764906,0.323296517453516,61,0.14939329973874024,0.6158940397350994,0.9579969957996998,0.4346780542173862
45,0.1708495575587158,0.3877551020408163,0.9111132311113231,0.32265641130194167,23,0.16796264085909315,0.31788079470198677,0.8493697849369786,0.4332932756566755
119,0.16897375378184717,0.047619047619047616,0.8749861374986138,0.3064605042235228,62,0.15812942882301725,0.282560706401766,0.8729549372954938,0.4192537686214581
43,0.16313417395026658,0.2857142857142857,0.9051401305140131,0.30606583645567764,125,0.17473076282145739,0.3509933774834437,0.7756171375617138,0.4116131269462297
41,0.16339470781661553,0.06349206349206349,0.901469860146986,0.30531158532682207,126,0.14433792001807114,0.18984547461368653,0.9001656500165651,0.3946165780847699
56,0.5440083564976642,0.034013605442176874,0.26296439629643964,0.2965217877743719,58,0.14021851686978928,0.4260485651214128,0.9228277922827793,0.39300536753341603
69,0.15592607743304882,0.3219954648526077,0.895498389549839,0.2894260716425633,92,0.15028649024384494,0.24282560706401765,0.8526864852686485,0.3892080095449498
7,0.15511997532546865,0.546485260770975,0.9001293900129391,0.28941881179557344,90,0.1371834863129694,0.46578366445916114,0.9324525332452535,0.3885089392948461
101,0.14595146374605136,0.4580498866213152,0.9179795917979593,0.2777125896873993,116,0.14584801316115972,0.39514348785871967,0.8385369838536985,0.37144557288845953
39,0.3164491377749832,0.8775510204081632,0.4065351006535101,0.26665888133065546,75,0.1403899577221585,0.4304635761589404,0.8382001838200185,0.35740139414303973
47,0.1352791086385857,0.34467120181405897,0.9417383441738345,0.2640675729595813,21,0.1174880908515648,0.4216335540838852,0.9835625683562569,0.35096861858554346
91,0.1318681189318649,0.07936507936507936,0.9048190904819091,0.24731795874169216,85,0.13860107508422867,0.3818984547461369,0.8325492832549284,0.3504685062127285
4,0.11555071967197707,0.1473922902494331,0.9822322982232299,0.2352561321947222,80,0.12546628522468142,0.24282560706401765,0.9124579912457991,0.34770614499885955
79,0.16037135403649175,0.30385487528344673,0.698872569887257,0.2323158699701262,97,0.13085617369539915,0.10375275938189846,0.8651655865165587,0.34384752344836544
