Node_for_0_eyes,Act_for_0_eyes,Frequency_for_0_eyes,0_output_weights_x,output_0_eyes_compScore,Node_for_0_mouth,Act_for_0_mouth,Frequency_for_0_mouth,0_output_weights_y,output_0_mouth_compScore,Node_for_0_forehead,Act_for_0_forehead,Frequency_for_0_forehead,0_output_weights_x,output_0_forehead_compScore,Node_for_0_nose,Act_for_0_nose,Frequency_for_0_nose,0_output_weights_y,output_0_nose_compScore
95.0,0.08402944277406872,0.9979959919839679,0.9244541924454193,1.0,95.0,0.06727168075340789,0.9939879759519038,0.9244541924454193,1.0,69,0.6125137362847453,0.7054108216432866,0.895498389549839,1.0,95.0,0.05884033265936418,0.9218436873747495,0.9244541924454193,1.0
31.0,0.05712629071717407,0.9939879759519038,0.8070075807007581,0.5929077582820519,31.0,0.055650784044753966,0.9939879759519038,0.8070075807007581,0.7219667465491183,119,0.49698121447956917,0.35070140280561124,0.8749861374986138,0.7927942720575512,31.0,0.03370563008272381,0.9779559118236473,0.8070075807007581,0.49956195899409656
19.0,0.016669134865555185,0.3687374749498998,0.8384072838407285,0.17877965006619884,22.0,0.021566793744264207,0.0,0.6608179660817967,0.22863978125986878,76,0.3885965090946333,0.4028056112224449,0.9488725448872545,0.6722427602536938,19.0,0.015962942160666217,0.2545090180360721,0.8384072838407285,0.2452943588834678
51.0,0.019355343439149464,0.9659318637274549,0.6837518683751869,0.16922405103792712,19.0,0.010283487094923683,0.1903807615230461,0.8384072838407285,0.1380487959018587,41,0.4051421893890393,0.01002004008016032,0.901469860146986,0.6658525080242959,51.0,0.018645487403404538,0.9859719438877755,0.6837518683751869,0.23361706724027534
76.0,0.012821101866654052,0.0,0.9488725448872545,0.15544814274512983,118.0,0.04694534904778886,0.48096192384769537,0.18177740817774085,0.1366304434126853,33,0.3345606116775385,0.5971943887775552,0.9374026937402694,0.5717686835534695,88.0,0.013268539339598305,0.04408817635270541,0.8894776389477639,0.21619355272473567
73.0,0.013136376782087776,0.13627254509018036,0.8120442812044281,0.13613419508808014,51.0,0.010812631161849835,0.9659318637274549,0.6837518683751869,0.11827969744306537,73,0.359627396467098,0.056112224448897796,0.8120442812044281,0.532416908445995,118.0,0.03247914328095351,0.4348697394789579,0.18177740817774085,0.10765573727781547
83.0,0.009057666107709408,0.2545090180360721,0.9567104356710436,0.11032992730010625,63.0,0.010943887739909555,0.49298597194388777,0.499280409928041,0.0872390614052183,83,0.26673133032488683,0.05811623246492986,0.9567104356710436,0.46523662914946784,63.0,0.011433286041831126,0.09418837675350701,0.499280409928041,0.10405702948890104
118.0,0.04488668029453303,0.4468937875751503,0.18177740817774085,0.10380486327861464,83.0,0.0056795250722220265,0.03206412825651302,0.9567104356710436,0.08674977370735559,40,0.35287187395385805,0.8837675350701403,0.6267474326747433,0.4032078378301003,83.0,0.005581132811749517,0.036072144288577156,0.9567104356710436,0.09726868982744584
88.0,0.007789076083679136,0.012024048096192385,0.8894776389477639,0.08793400764883715,73.0,0.004927433616896086,0.03206412825651302,0.8120442812044281,0.06370179934115468,88,0.23186800872846897,0.15430861723446893,0.8894776389477639,0.37600638960252375,12.0,0.006291279852341257,0.002004008016032064,0.8027399402739941,0.09194555676404571
63.0,0.009744483856747385,0.1523046092184369,0.499280409928041,0.06134052341342792,52.0,0.0036184067882928414,0.002004008016032064,0.6132915613291562,0.0350254228008405,87,0.20867246705485437,0.08216432865731463,0.9147483914748392,0.34800554446166776,73.0,0.004829410367759011,0.03406813627254509,0.8120442812044281,0.0711774687217225
